,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,odds
138,Rory McIlroy,28237,69.216,1.784,0.765,0.539,2.23,0.926,-0.446,-5.0,0.88,-5.0,0.88,1275.0
139,Maverick McNealy,46442,69.645,1.134,-0.222,0.142,-0.234,-0.154,1.368,,,,,
140,John Merrick,27933,,,,,,,,,,,,
141,Troy Merritt,32640,71.913,-0.79,-0.22,-0.208,-0.275,0.153,-0.515,11.0,1.0,11.0,1.0,166667.0
142,Keith Mitchell,39546,69.95,0.998,0.867,0.22,1.083,-0.004,-0.084,-1.0,1.0,-1.0,1.0,6525.0
143,Francesco Molinari,25198,72.632,-1.35,0.045,-0.117,-0.478,-0.406,-0.872,2.5,0.67,2.5,0.67,30250.0
144,Taylor Montgomery,55789,69.714,1.205,0.304,0.143,0.114,-0.333,1.091,,,,,19750.0
145,Ryan Moore,26596,71.318,-0.1,-0.276,-0.359,-0.094,0.541,-0.006,0.75,0.75,0.75,0.75,
146,Taylor Moore,49947,70.587,0.541,0.003,0.036,0.265,0.226,0.276,,,,,85500.0
147,Collin Morikawa,50525,69.781,1.846,0.64,0.21,1.783,0.933,0.063,-1.67,1.0,-1.67,1.0,2400.0
148,Trey Mullinax,46601,71.891,-0.513,-0.087,-0.181,-0.26,0.008,-0.253,,,,,26500.0
149,Grayson Murray,34213,,,,,,,,,,,,
150,Matthew NeSmith,36871,70.844,0.467,-0.173,0.068,0.252,0.357,0.215,,,,,54250.0
151,S.Y. Noh,29289,71.603,-1.354,-1.003,-0.324,-1.928,-0.601,0.574,,,,,
152,Alex Noren,27349,70.288,0.753,-0.1,0.341,0.376,0.134,0.377,,,,,49250.0
153,Henrik Norlander,30163,71.405,-0.951,-0.081,0.086,-0.197,-0.202,-0.753,,,,,
154,Vincent Norrman,51070,71.728,-0.573,0.152,-0.013,-0.148,-0.288,-0.424,,,,,
155,Andrew Novak,51997,70.949,0.701,-0.1,0.306,0.301,0.096,0.4,,,,,
156,Augusto Núñez,36724,71.743,-0.486,-0.051,0.278,0.062,-0.165,-0.548,,,,,
157,Sean O'Hair,24140,71.12,-0.404,-0.164,0.278,0.124,0.01,-0.527,9.0,0.0,9.0,0.0,
158,Ryan Palmer,23320,71.216,-0.179,-0.063,-0.068,0.016,0.147,-0.196,2.67,0.67,2.67,0.67,25000.0
159,C.T. Pan,29908,72.149,-0.911,-0.403,-0.05,-0.096,0.357,-0.815,-2.0,0.5,-2.0,0.5,
160,Taylor Pendrith,40250,70.814,0.187,0.385,-0.208,-0.056,-0.233,0.243,,,,,31750.0
161,Cameron Percy,22056,70.655,0.654,0.348,0.03,0.425,0.047,0.229,,,,,
